  x26410b                H.264/MPEG-4 Part 10/Codificador AVC (x264 10-bit)
  webvtt                 Decodificador de subtítulos WEBVTT
  webvtt                 Analizador de subtítulos WEBVTT
  webvtt                 Analizador de subtítulos WEBVTT
  vpx                    Decodificador de vídeo WebM
  vpx                    Codificador de vídeo WebM
  vorbis                 Decodificador de audio Vorbis
  vorbis                 Codificador de audio Vorbis
  vorbis                 Empaquetador de audio Vorbis
  uleaddvaudio           Decodificador de audio Ulead DV
  twolame                Codificador de audio Libtwolame
  ttml                   Decodificador de subtítulos TTML
  ttml                   Demuxor TTML
  theora                 Decodificador de vídeo Theora
  theora                 Codificador de vídeo Theora
  theora                 Empaquetador de vídeo Theora
  textst                 Decodificador de subtítulos HDMV TextST
  t140                   Codificador de texto T.140
  svcdsub                Decodificador Philips OGT (subtítulo SVCD)
  svcdsub                Empaquetador Philips OGT (subtítulo SVCD)
  subsusf                Decodificador de subtítulos USF
  substx3g               Decodificador de subtítulos tx3g
  subsdec                Decodificador de texto de subtítulo
  stl                    Decodificador de subtítulos EBU STL
  spudec                 Decodificador de subtítulos de DVD
  spudec                 Empaquetador de subtítulos de DVD
  speex                  Codificador de audio speex
  speex                  Codificador de audio speex
  speex                  Empaquetador de audio speex
  spdif                  Decodificador a través de S/PDIF
  sdl_image              Decodificador de vídeo SDL_image
  scte27                 Decodificador SCTE-27
  scte18                 Decodificador SCTE-18
  schroedinger           Decodificado de vídeo Dirac usando libschroedinger
  schroedinger           Codificador de vídeo Dirac usando el codec libschroedinger
  rtpvideo               Codificador de vídeo en bruto RTP
  rawvideo               Decodificador de vídeo Pseudo raw
  rawvideo               Empaquetador de vídeo Pseudo raw
  qsv                    Codificador Intel QuickSync Video para MPEG4-Part10/MPEG2 (H.264/H.262)
  png                    Decodificador de vídeo PNG
  png                    Codificador de vídeo PNG
  opus                   Decodificador de audio Opus
  opus                   Codificador de audio Opus
  oggspots               Decodificador de vídeo OggSpots
  oggspots               Empaquetador de vídeo OggSpots
  mpg123                 Decodificador de audio MPEG usando mpg123
  mft                    Decodificador Media Foundation Transform
  mft                    Decodificador Media Foundation Transform
  lpcm                   Decodificador de audio PCM lineal
  lpcm                   Decodificador de audio PCM lineal
  lpcm                   Empaquetador de audio PCM lineal
  libass                 Generadores de subtítulos usando libass
  kate                   Decodificador de vídeo falso
  jpeg                   Decodificador de imagen JPEG
  jpeg                   Codificador de imagen JPEG
  g711                   Decodificador G.711
  g711                   Codificador G.711
  fluidsynth             Sintetizador FluidSynth MIDI
  flac                   Decodificador de audio Flac
  flac                   Codificador de audio Flac
  faad                   Decodificador de audio AAC (usando libfaad2)
  edummy                 Decodificador simulado
  dxva2                  Aceleración de vídeo DirectX (DXVA) 2.0
  dvbsub                 Decodificador de subtítulos DVB
  dvbsub                 Codificador de subtítulos DVB
  dmo                    Decodificador de DirectMedia Object
  dmo                    Codificador de DirectMedia Object
  dmo                    Decodificador de DirectMedia Object
  ddummy                 Decodificador simulado
  ddummy                 Decodificador simulado
  ddummy                 Decodificador simulado
  ddummy                 Decodificador de volcado
  ddummy                 Decodificador simulado
  ddummy                 Decodificador simulado
  dav1d                  Decodificacdor de vídeo Dav1d
  d3d11va                Aceleración de vídeo Direct3D11
  cvdsub                 Decodificador de subtítulos CVD
  cvdsub                 Empaquetador de subtítulos VCD Chaoji
